date,to_aogashima,from_aogashima,max_wind
2022/04/12 (火),〇,〇,南西 4.0
2022/04/13 (水),,,西南西 4.5
2022/04/14 (木),,,北東 8.1
2022/04/15 (金),×,×,北東 11.3
2022/04/16 (土),,,北北東 11.2
2022/04/17 (日),,,東 10.2
2022/04/18 (月),〇,,東 7.7
2022/04/19 (火),〇,〇,東北東 6.8
2022/04/20 (水),,,南南東 7.0
2022/04/21 (木),,,南 8.5
2022/04/22 (金),×,×,南 10.2
2022/04/23 (土),×,×,西南西 7.2
2022/04/24 (日),〇,〇,南南西 7.6
2022/04/25 (月),,,西南西 5.3
2022/04/26 (火),〇,〇,南南西 7.6
2022/04/27 (水),×,×,南南西 8.2
2022/04/28 (木),,,北東 8.2
2022/04/29 (金),〇,〇,西南西 12.2
2022/04/30 (土),×,×,北東 12.5
2022/05/01 (日),,,南南東 6.8
2022/05/02 (月),〇,〇,西 5.3
2022/05/03 (火),〇,〇,西北西 5.9
2022/05/04 (水),,,南西 4.5
2022/05/05 (木),,,南西 3.6
2022/05/06 (金),〇,〇,東 6.7
2022/05/07 (土),×,×,東 12.5
2022/05/08 (日),,,南東 4.8
2022/05/09 (月),〇,〇,南南東 6.1
2022/05/10 (火),〇,〇,北東 8.5
2022/05/11 (水),〇,〇,東北東 6.9
2022/05/12 (木),,,東北東 6.5
2022/05/13 (金),〇,〇,南南西 8.9
2022/05/14 (土),×,×,南西 10.3
2022/05/15 (日),,,西 5.7
2022/05/16 (月),〇,〇,北東 8.5
2022/05/17 (火),〇,〇,東北東 6.3
2022/05/18 (水),,,東北東 6.0
2022/05/19 (木),,,東北東 6.5
2022/05/20 (金),〇,〇,南 4.8
2022/05/21 (土),,,北東 9.6
2022/05/22 (日),,,北東 7.3
2022/05/23 (月),〇,,西 5.7
2022/05/24 (火),〇,〇,北東 6.1
2022/05/25 (水),〇,〇,東 5.7
2022/05/26 (木),,,南西 4.5
2022/05/27 (金),×,×,南 9.4
2022/05/28 (土),〇,〇,西 6.3
2022/05/29 (日),,,西 5.5
2022/05/30 (月),〇,〇,南西 4.9
2022/05/31 (火),〇,〇,北東 7.8
2022/06/01 (水),,,北東 6.6
2022/06/02 (木),,,南南東 5.5
2022/06/03 (金),〇,〇,南西 5.6
2022/06/04 (土),〇,〇,北東 9.7
2022/06/05 (日),,,南南東 5.9
2022/06/06 (月),×,×,南南東 16.7
2022/06/07 (火),×,×,西 7.1
2022/06/08 (水),〇,,西南西 5.3
2022/06/09 (木),,,北東 5.5
2022/06/10 (金),〇,〇,北東 6.9
2022/06/11 (土),〇,〇,東 12.2
2022/06/12 (日),,,北東 11.8
2022/06/13 (月),〇,〇,南南西 4.0
2022/06/14 (火),,,東北東 15.6
2022/06/15 (水),,,南東 9.6
2022/06/16 (木),,,西南西 5.2
2022/06/17 (金),,,南南西 5.4
2022/06/18 (土),〇,〇,南 12.6
2022/06/19 (日),,,東 5.1
